new entry "FRE_Teleportation_Target"
type "SpellData"
data "SpellType" "Teleportation"
data "Level" "6"
data "SpellSchool" "Conjuration"
data "TargetRadius" "100"
data "AreaRadius" "100"
data "LineOfSightFlags" "AddSourceHeight"
data "TargetConditions" "CanStand('')"
data "TeleportSelf" "No"
data "TeleportSurface" "No"
data "Icon" "FRE_mf_hood_9"
data "DisplayName" "h7f8e12aagddb8g4641gb6a1gf184dc10efdc;2"
data "Description" "h2ed6597bg080fg4197gaaf1g45aa7a3b6855;5"
data "CastSound" "Spell_Cast_Utility_DimensionDoor_L4to5"
data "TargetSound" "Spell_Impact_Utility_DimensionDoor_L4to5"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197,,;,,;7abe77ed-9c77-4eac-872c-5b8caed070b6,,;cb171bda-f065-4520-b470-e447f678ba1f,,;cc5b0caf-3ed1-4711-a50d-11dc3f1fdc6a,,;,,;1715b877-4512-472e-9bd0-fd568a112e90,,;,,;,,"
data "SpellFlags" "HasVerbalComponent;IsSpell;HasHighGroundRangeExtension;RangeIgnoreVerticalThreshold"
data "HitAnimationType" "None"
data "VerbalIntent" "Utility"
